DER,Alpha
DER_129,1.0
DER_130,0.0
DER_131,1.0
DER_132,1.0
DER_133,1.0
DER_134,1.0
DER_135,1.0
DER_136,1.0
DER_137,1.0
DER_138,1.0
DER_139,1.0
DER_140,1.0
DER_141,1.0
DER_142,1.0
DER_143,1.0
DER_144,1.0
DER_145,1.0
DER_146,1.0
DER_147,1.0
DER_148,1.0
DER_149,1.0
DER_150,1.0
DER_151,1.0
DER_152,1.0
DER_153,1.0
DER_154,1.0
DER_155,1.0
DER_156,1.0
DER_157,1.0
DER_158,1.0
DER_159,0.0
DER_160,0.0
DER_161,1.0
DER_162,1.0
DER_163,1.0
DER_164,1.0
DER_165,1.0
DER_166,1.0
DER_167,1.0
DER_168,1.0
DER_169,1.0
DER_170,1.0
DER_171,0.0
DER_172,1.0
DER_173,1.0
DER_174,1.0
DER_175,1.0
DER_176,1.0
DER_177,1.0
DER_178,1.0
DER_179,1.0
DER_180,1.0
DER_181,1.0
DER_182,1.0
DER_183,1.0
DER_184,1.0
DER_185,1.0
DER_186,1.0
DER_187,1.0
DER_188,1.0
DER_189,1.0
DER_190,1.0
DER_191,1.0
DER_192,1.0
DER_193,1.0
DER_194,1.0
DER_195,1.0
DER_196,0.0
DER_197,1.0
DER_198,1.0
DER_199,1.0
DER_200,0.0
DER_201,1.0
DER_202,1.0
DER_203,1.0
DER_204,1.0
DER_205,0.0
DER_206,1.0
DER_207,0.0
DER_208,1.0
DER_209,1.0
DER_210,1.0
DER_211,1.0
DER_212,1.0
DER_213,1.0
DER_214,1.0
DER_215,1.0
DER_216,1.0
DER_217,1.0
DER_218,1.0
DER_219,1.0
DER_220,1.0
DER_221,1.0
DER_222,1.0
DER_223,0.0
DER_224,1.0
DER_225,1.0
DER_226,1.0
DER_227,1.0
DER_228,1.0
DER_229,0.0
DER_230,0.0
DER_231,1.0
DER_232,1.0
DER_233,1.0
DER_234,1.0
DER_235,0.0
DER_236,1.0
DER_237,1.0
DER_238,0.0
DER_239,1.0
DER_240,1.0
DER_241,1.0
DER_242,1.0
DER_243,0.0
DER_244,1.0
DER_245,1.0
DER_246,1.0
DER_247,1.0
DER_248,1.0
DER_249,1.0
DER_250,1.0
DER_251,1.0
DER_252,1.0
DER_253,1.0
DER_254,1.0
DER_255,1.0
DER_256,0.0
DER_257,1.0
DER_258,1.0
DER_259,1.0
DER_260,0.0
DER_261,1.0
DER_262,0.0
DER_263,1.0
DER_264,1.0
DER_265,1.0
DER_266,1.0
DER_267,1.0
DER_268,1.0
DER_269,1.0
DER_270,1.0
DER_271,1.0
DER_272,1.0
DER_273,1.0
DER_274,1.0
DER_275,1.0
DER_276,1.0
DER_277,1.0
DER_278,1.0
DER_279,1.0
DER_280,1.0
DER_281,1.0
DER_282,1.0
DER_283,1.0
DER_284,1.0
DER_285,1.0
DER_286,1.0
DER_287,1.0
DER_288,0.0
DER_289,0.0
DER_290,1.0
DER_291,1.0
DER_292,1.0
DER_293,1.0
DER_294,1.0
DER_295,1.0
DER_296,1.0
DER_297,1.0
DER_298,0.0
DER_299,1.0
DER_300,1.0
DER_301,1.0
DER_302,1.0
DER_303,1.0
DER_304,1.0
DER_305,1.0
DER_306,1.0
DER_307,1.0
DER_308,1.0
DER_309,1.0
DER_310,1.0
DER_311,1.0
DER_312,1.0
DER_313,1.0
DER_314,1.0
DER_315,1.0
DER_316,1.0
DER_317,1.0
DER_318,0.0
DER_319,1.0
DER_320,1.0
DER_321,1.0
DER_322,1.0
DER_323,1.0
DER_324,0.0
DER_325,1.0
DER_326,1.0
DER_327,1.0
DER_328,1.0
DER_329,1.0
DER_330,1.0
DER_331,1.0
DER_332,1.0
DER_333,1.0
DER_334,1.0
DER_335,1.0
DER_336,1.0
DER_337,1.0
DER_338,1.0
DER_339,1.0
DER_340,1.0
DER_341,1.0
DER_342,1.0
DER_343,1.0
DER_344,1.0
DER_345,1.0
DER_346,1.0
DER_347,1.0
DER_348,1.0
DER_349,1.0
DER_350,1.0
DER_351,1.0
DER_352,1.0
DER_353,1.0
DER_354,1.0
DER_355,1.0
DER_356,1.0
DER_357,1.0
DER_358,1.0
DER_359,1.0
DER_360,1.0
DER_361,1.0
DER_362,1.0
DER_363,1.0
DER_364,1.0
DER_365,1.0
DER_366,1.0
DER_367,1.0
DER_368,1.0
DER_369,1.0
DER_370,1.0
DER_371,1.0
DER_372,0.0
DER_373,1.0
DER_374,1.0
DER_375,1.0
DER_376,1.0
DER_377,1.0
DER_378,1.0
DER_379,1.0
DER_380,1.0
DER_381,1.0
DER_382,1.0
DER_383,1.0
DER_384,0.0
DER_385,0.0
DER_386,0.0
DER_387,1.0
DER_388,1.0
DER_389,1.0
DER_390,1.0
DER_391,1.0
DER_392,1.0
DER_393,1.0
DER_394,1.0
DER_395,1.0
DER_396,1.0
DER_397,0.0
DER_398,0.0
DER_399,1.0
DER_400,1.0
DER_401,1.0
DER_402,0.0
DER_403,1.0
DER_404,1.0
DER_405,1.0
DER_406,1.0
DER_407,1.0
DER_408,1.0
DER_409,1.0
DER_410,1.0
DER_411,1.0
DER_412,1.0
DER_413,1.0
DER_414,1.0
DER_415,1.0
DER_416,1.0
DER_417,1.0
DER_418,1.0
DER_419,0.0
DER_420,1.0
DER_421,1.0
DER_422,0.5563063063062701
DER_423,1.0
DER_424,1.0
DER_425,0.0
DER_426,1.0
DER_427,1.0
DER_428,0.0
DER_429,1.0
DER_430,1.0
DER_431,1.0
DER_432,1.0
DER_433,1.0
DER_434,1.0
DER_435,1.0
DER_436,0.0
DER_437,1.0
DER_438,1.0
DER_439,1.0
DER_440,1.0
DER_441,1.0
DER_442,1.0
DER_443,1.0
DER_444,1.0
DER_445,1.0
DER_446,1.0
DER_447,1.0
DER_448,1.0
DER_449,0.298611111111035
DER_450,1.0
