Vertex,DER,Activation
0,DER_95,0.0
0,DER_96,0.0
0,DER_97,0.0
0,DER_98,0.0
0,DER_99,1.0
0,DER_100,1.0
0,DER_101,1.0
0,DER_102,1.0
0,DER_103,0.0
0,DER_104,0.0
0,DER_105,1.0
0,DER_106,0.0
0,DER_107,0.0
0,DER_108,0.0
0,DER_109,0.0
0,DER_110,1.0
0,DER_111,1.0
0,DER_112,1.0
0,DER_113,0.0
0,DER_114,0.0
0,DER_115,1.0
0,DER_116,1.0
0,DER_117,0.0
0,DER_118,1.0
0,DER_119,1.0
0,DER_120,1.0
0,DER_121,0.0
0,DER_122,1.0
0,DER_123,1.0
0,DER_124,0.0
0,DER_125,1.0
0,DER_126,1.0
0,DER_127,1.0
0,DER_128,0.0
0,DER_129,1.0
0,DER_130,1.0
0,DER_131,1.0
0,DER_132,0.0
0,DER_133,1.0
0,DER_134,0.0
0,DER_135,0.0
0,DER_136,0.0
0,DER_137,1.0
0,DER_138,1.0
0,DER_139,1.0
0,DER_140,1.0
0,DER_141,1.0
0,DER_142,0.0
0,DER_143,0.0
0,DER_144,1.0
0,DER_145,1.0
0,DER_146,1.0
0,DER_147,0.0
0,DER_148,0.0
0,DER_149,1.0
0,DER_150,1.0
0,DER_151,1.0
0,DER_152,0.0
0,DER_153,1.0
0,DER_154,1.0
0,DER_155,1.0
0,DER_156,0.0
0,DER_157,0.0
0,DER_158,1.0
0,DER_159,1.0
0,DER_160,1.0
0,DER_161,0.0
0,DER_162,0.0
0,DER_163,0.0
0,DER_164,0.0
0,DER_165,0.0
0,DER_166,1.0
0,DER_167,0.0
0,DER_168,0.0
0,DER_169,0.0
0,DER_170,0.0
0,DER_171,1.0
0,DER_172,0.0
0,DER_173,0.0
0,DER_174,1.0
0,DER_175,1.0
0,DER_176,0.0
0,DER_177,1.0
0,DER_178,0.0
0,DER_179,1.0
0,DER_180,1.0
0,DER_181,1.0
0,DER_182,0.0
0,DER_183,1.0
0,DER_184,1.0
0,DER_185,0.0
0,DER_186,0.0
0,DER_187,0.0
0,DER_188,0.0
0,DER_189,1.0
0,DER_190,0.0
0,DER_191,0.0
0,DER_192,1.0
0,DER_193,0.0
0,DER_194,0.0
0,DER_195,1.0
0,DER_196,1.0
0,DER_197,0.0
0,DER_198,1.0
0,DER_199,0.0
0,DER_200,1.0
0,DER_201,1.0
0,DER_202,0.0
0,DER_203,0.0
0,DER_204,1.0
0,DER_205,1.0
0,DER_206,1.0
0,DER_207,1.0
0,DER_208,0.0
0,DER_209,0.0
0,DER_210,1.0
0,DER_211,0.0
0,DER_212,1.0
0,DER_213,0.0
0,DER_214,1.0
0,DER_215,0.0
0,DER_216,0.0
0,DER_217,1.0
0,DER_218,0.0
0,DER_219,0.0
0,DER_220,0.0
0,DER_221,1.0
0,DER_222,1.0
0,DER_223,1.0
0,DER_224,1.0
0,DER_225,1.0
0,DER_226,0.0
0,DER_227,1.0
0,DER_228,1.0
0,DER_229,1.0
0,DER_230,1.0
0,DER_231,0.0
0,DER_232,1.0
0,DER_233,0.0
0,DER_234,0.0
0,DER_235,1.0
0,DER_236,1.0
0,DER_237,1.0
0,DER_238,1.0
0,DER_239,1.0
0,DER_240,1.0
0,DER_241,1.0
0,DER_242,0.0
0,DER_243,1.0
0,DER_244,1.0
0,DER_245,0.0
0,DER_246,1.0
0,DER_247,1.0
0,DER_248,0.0
0,DER_249,1.0
0,DER_250,0.0
0,DER_251,0.0
0,DER_252,1.0
0,DER_253,0.0
0,DER_254,1.0
0,DER_255,0.0
0,DER_256,1.0
0,DER_257,1.0
0,DER_258,0.0
0,DER_259,1.0
0,DER_260,1.0
0,DER_261,1.0
0,DER_262,1.0
0,DER_263,0.0
0,DER_264,1.0
0,DER_265,0.0
0,DER_266,1.0
0,DER_267,1.0
0,DER_268,0.0
0,DER_269,1.0
0,DER_270,0.0
0,DER_271,0.0
0,DER_272,1.0
0,DER_273,1.0
0,DER_274,0.0
0,DER_275,0.0
0,DER_276,1.0
0,DER_277,1.0
0,DER_278,0.0
0,DER_279,0.0
0,DER_280,1.0
0,DER_281,0.0
0,DER_282,0.0
0,DER_283,0.0
0,DER_284,0.0
0,DER_285,0.0
0,DER_286,1.0
0,DER_287,0.0
0,DER_288,1.0
0,DER_289,1.0
0,DER_290,1.0
0,DER_291,1.0
0,DER_292,0.0
0,DER_293,0.0
0,DER_294,1.0
0,DER_295,1.0
0,DER_296,0.0
0,DER_297,1.0
0,DER_298,1.0
0,DER_299,1.0
0,DER_300,0.0
0,DER_301,0.0
0,DER_302,0.0
0,DER_303,1.0
0,DER_304,1.0
0,DER_305,1.0
0,DER_306,0.0
0,DER_307,0.0
0,DER_308,1.0
0,DER_309,0.0
0,DER_310,0.0
0,DER_311,0.0
0,DER_312,1.0
0,DER_313,1.0
0,DER_314,1.0
0,DER_315,0.0
0,DER_316,0.0
0,DER_317,1.0
0,DER_318,1.0
0,DER_319,1.0
0,DER_320,0.0
0,DER_321,0.0
0,DER_322,1.0
0,DER_323,0.0
0,DER_324,1.0
0,DER_325,0.0
0,DER_326,1.0
0,DER_327,0.0
0,DER_328,0.0
0,DER_329,1.0
0,DER_330,0.0
0,DER_331,0.0
0,DER_332,1.0
0,DER_333,1.0
0,DER_334,1.0
0,DER_335,0.0
0,DER_336,0.0
0,DER_337,1.0
0,DER_338,0.0
0,DER_339,0.0
0,DER_340,0.0
0,DER_341,0.0
0,DER_342,1.0
0,DER_343,0.0
0,DER_344,0.0
0,DER_345,1.0
0,DER_346,1.0
0,DER_347,1.0
0,DER_348,0.0
0,DER_349,1.0
0,DER_350,1.0
0,DER_351,1.0
0,DER_352,0.0
0,DER_353,0.0
0,DER_354,0.0
0,DER_355,1.0
0,DER_356,1.0
0,DER_357,0.0
0,DER_358,0.0
0,DER_359,0.0
0,DER_360,0.0
0,DER_361,1.0
0,DER_362,0.0
0,DER_363,0.0
0,DER_364,0.0
0,DER_365,1.0
0,DER_366,0.0
0,DER_367,1.0
0,DER_368,1.0
0,DER_369,0.0
0,DER_370,1.0
0,DER_371,1.0
0,DER_372,1.0
0,DER_373,0.0
0,DER_374,0.0
0,DER_375,1.0
0,DER_376,0.0
0,DER_377,0.0
0,DER_378,1.0
0,DER_379,0.0
0,DER_380,0.0
0,DER_381,1.0
0,DER_382,1.0
0,DER_383,0.0
0,DER_384,1.0
0,DER_385,1.0
0,DER_386,1.0
0,DER_387,1.0
0,DER_388,1.0
0,DER_389,1.0
0,DER_390,0.0
0,DER_391,1.0
0,DER_392,0.0
0,DER_393,0.0
0,DER_394,0.0
0,DER_395,1.0
0,DER_396,0.0
0,DER_397,1.0
0,DER_398,1.0
0,DER_399,1.0
0,DER_400,0.0
0,DER_401,0.0
0,DER_402,1.0
0,DER_403,0.0
0,DER_404,0.0
0,DER_405,1.0
0,DER_406,1.0
0,DER_407,0.0
0,DER_408,0.0
0,DER_409,0.0
0,DER_410,1.0
0,DER_411,0.0
0,DER_412,1.0
0,DER_413,1.0
0,DER_414,0.0
0,DER_415,1.0
0,DER_416,1.0
0,DER_417,1.0
0,DER_418,1.0
0,DER_419,1.0
0,DER_420,0.0
0,DER_421,0.0
0,DER_422,1.0
0,DER_423,1.0
0,DER_424,1.0
0,DER_425,1.0
0,DER_426,1.0
0,DER_427,0.0
0,DER_428,1.0
0,DER_429,0.0
0,DER_430,1.0
0,DER_431,1.0
0,DER_432,0.0
0,DER_433,0.0
0,DER_434,1.0
0,DER_435,0.0
0,DER_436,1.0
0,DER_437,1.0
0,DER_438,0.0
0,DER_439,1.0
0,DER_440,0.0
0,DER_441,0.0
0,DER_442,1.0
0,DER_443,0.0
0,DER_444,0.0
0,DER_445,0.0
0,DER_446,0.0
0,DER_447,0.0
0,DER_448,1.0
0,DER_449,1.0
0,DER_450,0.0
1,DER_1,1.0
1,DER_2,0.0
1,DER_3,1.0
1,DER_4,0.0
1,DER_5,1.0
1,DER_6,0.0
1,DER_7,1.0
1,DER_8,1.0
1,DER_9,0.0
1,DER_10,1.0
1,DER_11,1.0
1,DER_12,1.0
1,DER_13,0.0
1,DER_14,1.0
1,DER_15,0.0
1,DER_16,0.0
1,DER_17,1.0
1,DER_18,1.0
1,DER_19,1.0
1,DER_20,1.0
1,DER_21,1.0
1,DER_22,0.0
1,DER_23,1.0
1,DER_24,1.0
1,DER_25,1.0
1,DER_26,0.0
1,DER_27,0.0
1,DER_28,1.0
1,DER_29,0.0
1,DER_30,1.0
1,DER_31,0.0
1,DER_32,1.0
1,DER_33,1.0
1,DER_34,0.0
1,DER_35,1.0
1,DER_36,0.0
1,DER_37,1.0
1,DER_38,0.0
1,DER_39,0.0
1,DER_40,1.0
1,DER_41,0.0
1,DER_42,0.0
1,DER_43,1.0
1,DER_44,0.0
1,DER_45,0.0
1,DER_46,1.0
1,DER_47,0.0
1,DER_48,0.0
1,DER_49,0.0
1,DER_50,1.0
1,DER_51,0.0
1,DER_52,1.0
1,DER_53,0.0
1,DER_54,0.0
1,DER_55,0.0
1,DER_56,0.0
1,DER_57,1.0
1,DER_58,0.0
1,DER_59,0.0
1,DER_60,1.0
1,DER_61,1.0
1,DER_62,0.0
1,DER_63,0.0
1,DER_64,0.0
1,DER_65,1.0
1,DER_66,1.0
1,DER_67,1.0
1,DER_68,1.0
1,DER_69,0.0
1,DER_70,1.0
1,DER_71,0.0
1,DER_72,1.0
1,DER_73,1.0
1,DER_74,1.0
1,DER_75,1.0
1,DER_76,1.0
1,DER_77,1.0
1,DER_78,0.0
1,DER_79,0.0
1,DER_80,1.0
1,DER_81,1.0
1,DER_82,0.0
1,DER_83,0.0
1,DER_84,1.0
1,DER_85,1.0
1,DER_86,0.0
1,DER_87,0.0
1,DER_88,1.0
1,DER_89,0.0
1,DER_90,1.0
1,DER_91,1.0
1,DER_92,1.0
1,DER_93,1.0
1,DER_94,1.0
1,DER_95,0.0
1,DER_96,0.0
1,DER_97,0.0
1,DER_98,0.0
1,DER_99,1.0
1,DER_100,1.0
1,DER_101,1.0
1,DER_102,1.0
1,DER_103,0.0
1,DER_104,0.0
1,DER_105,1.0
1,DER_106,0.0
1,DER_107,0.0
1,DER_108,0.0
1,DER_109,0.0
1,DER_110,1.0
1,DER_111,1.0
1,DER_112,1.0
1,DER_113,0.0
1,DER_114,0.0
1,DER_115,1.0
1,DER_116,0.0
1,DER_117,0.0
1,DER_118,1.0
1,DER_119,1.0
1,DER_120,1.0
1,DER_121,0.0
1,DER_122,1.0
1,DER_123,1.0
1,DER_124,0.0
1,DER_125,1.0
1,DER_126,1.0
1,DER_127,1.0
1,DER_128,0.0
1,DER_129,1.0
1,DER_130,1.0
1,DER_131,1.0
1,DER_132,0.0
1,DER_133,1.0
1,DER_134,0.0
1,DER_135,0.0
1,DER_136,0.0
1,DER_137,1.0
1,DER_138,1.0
1,DER_139,1.0
1,DER_140,1.0
1,DER_141,1.0
1,DER_142,0.0
1,DER_143,0.0
1,DER_144,1.0
1,DER_145,1.0
1,DER_146,1.0
1,DER_147,0.0
1,DER_148,0.0
1,DER_149,1.0
1,DER_150,1.0
1,DER_151,1.0
1,DER_152,0.0
1,DER_153,1.0
1,DER_154,1.0
1,DER_155,1.0
1,DER_156,0.0
1,DER_157,0.0
1,DER_158,1.0
1,DER_159,1.0
1,DER_160,1.0
1,DER_161,0.0
1,DER_162,0.0
1,DER_163,0.0
1,DER_164,0.0
1,DER_165,0.0
1,DER_166,1.0
1,DER_167,0.0
1,DER_168,0.0
1,DER_169,0.0
1,DER_170,0.0
1,DER_171,1.0
1,DER_172,0.0
1,DER_173,0.0
1,DER_174,1.0
1,DER_175,1.0
1,DER_176,0.0
1,DER_177,1.0
1,DER_178,0.0
1,DER_179,1.0
1,DER_180,1.0
1,DER_181,1.0
1,DER_182,0.0
1,DER_183,1.0
1,DER_184,1.0
1,DER_185,0.0
1,DER_186,0.0
1,DER_187,0.0
1,DER_188,0.0
1,DER_189,1.0
1,DER_190,0.0
1,DER_191,0.0
1,DER_192,1.0
1,DER_193,0.0
1,DER_194,0.0
1,DER_195,1.0
1,DER_196,1.0
1,DER_197,0.0
1,DER_198,1.0
1,DER_199,0.0
1,DER_200,1.0
1,DER_201,1.0
1,DER_202,0.0
1,DER_203,0.0
1,DER_204,1.0
1,DER_205,1.0
1,DER_206,1.0
1,DER_207,1.0
1,DER_208,0.0
1,DER_209,0.0
1,DER_210,1.0
1,DER_211,0.0
1,DER_212,1.0
1,DER_213,0.0
1,DER_214,1.0
1,DER_215,0.0
1,DER_216,0.0
1,DER_217,1.0
1,DER_218,0.0
1,DER_219,0.0
1,DER_220,0.0
1,DER_221,1.0
1,DER_222,1.0
1,DER_223,1.0
1,DER_224,1.0
1,DER_225,1.0
1,DER_226,0.0
1,DER_227,1.0
1,DER_228,1.0
1,DER_229,1.0
1,DER_230,1.0
1,DER_231,0.0
1,DER_232,1.0
1,DER_233,0.0
1,DER_234,0.0
1,DER_235,1.0
1,DER_236,1.0
1,DER_237,1.0
1,DER_238,1.0
1,DER_239,1.0
1,DER_240,1.0
1,DER_241,1.0
1,DER_242,0.0
1,DER_243,1.0
1,DER_244,1.0
1,DER_245,0.0
1,DER_246,1.0
1,DER_247,1.0
1,DER_248,0.0
1,DER_249,1.0
1,DER_250,0.0
1,DER_251,0.0
1,DER_252,1.0
1,DER_253,0.0
1,DER_254,1.0
1,DER_255,0.0
1,DER_256,1.0
1,DER_257,1.0
1,DER_258,0.0
1,DER_259,1.0
1,DER_260,1.0
1,DER_261,1.0
1,DER_262,1.0
1,DER_263,0.0
1,DER_264,1.0
1,DER_265,0.0
1,DER_266,1.0
1,DER_267,1.0
1,DER_268,0.0
1,DER_269,1.0
1,DER_270,0.0
1,DER_271,0.0
1,DER_272,1.0
1,DER_273,1.0
1,DER_274,0.0
1,DER_275,0.0
1,DER_276,1.0
1,DER_277,1.0
1,DER_278,0.0
1,DER_279,0.0
1,DER_280,1.0
1,DER_281,0.0
1,DER_282,0.0
1,DER_283,0.0
1,DER_284,0.0
1,DER_285,0.0
1,DER_286,1.0
1,DER_287,0.0
1,DER_288,1.0
1,DER_289,1.0
1,DER_290,1.0
1,DER_291,1.0
1,DER_292,0.0
1,DER_293,0.0
1,DER_294,1.0
1,DER_295,1.0
1,DER_296,0.0
1,DER_297,1.0
1,DER_298,1.0
1,DER_299,1.0
1,DER_300,0.0
1,DER_301,0.0
1,DER_302,0.0
1,DER_303,1.0
1,DER_304,1.0
1,DER_305,1.0
1,DER_306,0.0
1,DER_307,0.0
1,DER_308,1.0
1,DER_309,0.0
1,DER_310,0.0
1,DER_311,0.0
1,DER_312,1.0
1,DER_313,1.0
1,DER_314,1.0
1,DER_315,0.0
1,DER_316,0.0
1,DER_317,1.0
1,DER_318,1.0
1,DER_319,1.0
1,DER_320,0.0
1,DER_321,0.0
1,DER_322,1.0
1,DER_323,0.0
1,DER_324,1.0
1,DER_325,0.0
1,DER_326,1.0
1,DER_327,0.0
1,DER_328,0.0
1,DER_329,1.0
1,DER_330,0.0
1,DER_331,0.0
1,DER_332,1.0
1,DER_333,1.0
1,DER_334,1.0
1,DER_335,0.0
1,DER_336,0.0
1,DER_337,1.0
1,DER_338,0.0
1,DER_339,0.0
1,DER_340,0.0
1,DER_341,0.0
1,DER_342,1.0
1,DER_343,0.0
1,DER_344,0.0
1,DER_345,1.0
1,DER_346,1.0
1,DER_347,1.0
1,DER_348,0.0
1,DER_349,1.0
1,DER_350,1.0
1,DER_351,1.0
1,DER_352,0.0
1,DER_353,0.0
1,DER_354,0.0
1,DER_355,1.0
1,DER_356,1.0
1,DER_357,0.0
1,DER_358,0.0
1,DER_359,0.0
1,DER_360,0.0
1,DER_361,1.0
1,DER_362,0.0
1,DER_363,0.0
1,DER_364,0.0
1,DER_365,1.0
1,DER_366,0.0
1,DER_367,1.0
1,DER_368,1.0
1,DER_369,0.0
1,DER_370,1.0
1,DER_371,1.0
1,DER_372,1.0
1,DER_373,0.0
1,DER_374,0.0
1,DER_375,1.0
1,DER_376,0.0
1,DER_377,0.0
1,DER_378,1.0
1,DER_379,0.0
1,DER_380,0.0
1,DER_381,1.0
1,DER_382,1.0
1,DER_383,0.0
1,DER_384,1.0
1,DER_385,1.0
1,DER_386,1.0
1,DER_387,1.0
1,DER_388,1.0
1,DER_389,1.0
1,DER_390,0.0
1,DER_391,1.0
1,DER_392,0.0
1,DER_393,0.0
1,DER_394,0.0
1,DER_395,1.0
1,DER_396,0.0
1,DER_397,1.0
1,DER_398,1.0
1,DER_399,1.0
1,DER_400,0.0
1,DER_401,0.0
1,DER_402,1.0
1,DER_403,0.0
1,DER_404,0.0
1,DER_405,1.0
1,DER_406,1.0
1,DER_407,0.0
1,DER_408,0.0
1,DER_409,0.0
1,DER_410,1.0
1,DER_411,0.0
1,DER_412,1.0
1,DER_413,1.0
1,DER_414,0.0
1,DER_415,1.0
1,DER_416,1.0
1,DER_417,1.0
1,DER_418,1.0
1,DER_419,1.0
1,DER_420,0.0
1,DER_421,0.0
1,DER_422,1.0
1,DER_423,1.0
1,DER_424,1.0
1,DER_425,1.0
1,DER_426,1.0
1,DER_427,0.0
1,DER_428,1.0
1,DER_429,0.0
1,DER_430,1.0
1,DER_431,1.0
1,DER_432,0.0
1,DER_433,0.0
1,DER_434,1.0
1,DER_435,0.0
1,DER_436,1.0
1,DER_437,1.0
1,DER_438,0.0
1,DER_439,1.0
1,DER_440,0.0
1,DER_441,0.0
1,DER_442,1.0
1,DER_443,0.0
1,DER_444,0.0
1,DER_445,0.0
1,DER_446,0.0
1,DER_447,0.0
1,DER_448,1.0
1,DER_449,1.0
1,DER_450,0.0
2,DER_1,1.0
2,DER_2,0.0
2,DER_3,1.0
2,DER_4,0.0
2,DER_5,1.0
2,DER_6,0.0
2,DER_7,1.0
2,DER_8,1.0
2,DER_9,0.0
2,DER_10,1.0
2,DER_11,1.0
2,DER_12,1.0
2,DER_13,0.0
2,DER_14,1.0
2,DER_15,0.0
2,DER_16,0.0
2,DER_17,1.0
2,DER_18,1.0
2,DER_19,0.0
2,DER_20,1.0
2,DER_21,1.0
2,DER_22,0.0
2,DER_23,0.0
2,DER_24,1.0
2,DER_25,1.0
2,DER_26,0.0
2,DER_27,0.0
2,DER_28,1.0
2,DER_29,0.0
2,DER_30,1.0
2,DER_31,0.0
2,DER_32,1.0
2,DER_33,1.0
2,DER_34,0.0
2,DER_35,1.0
2,DER_36,0.0
2,DER_37,1.0
2,DER_38,0.0
2,DER_39,0.0
2,DER_40,1.0
2,DER_41,0.0
2,DER_42,0.0
2,DER_43,1.0
2,DER_44,0.0
2,DER_45,0.0
2,DER_46,1.0
2,DER_47,0.0
2,DER_48,0.0
2,DER_49,0.0
2,DER_50,1.0
2,DER_51,0.0
2,DER_52,1.0
2,DER_53,0.0
2,DER_54,0.0
2,DER_55,0.0
2,DER_56,0.0
2,DER_57,1.0
2,DER_58,0.0
2,DER_59,0.0
2,DER_60,1.0
2,DER_61,1.0
2,DER_62,0.0
2,DER_63,0.0
2,DER_64,0.0
2,DER_65,1.0
2,DER_66,1.0
2,DER_67,1.0
2,DER_68,1.0
2,DER_69,0.0
2,DER_70,1.0
2,DER_71,0.0
2,DER_72,1.0
2,DER_73,1.0
2,DER_74,1.0
2,DER_75,1.0
2,DER_76,1.0
2,DER_77,1.0
2,DER_78,0.0
2,DER_79,0.0
2,DER_80,1.0
2,DER_81,1.0
2,DER_82,0.0
2,DER_83,0.0
2,DER_84,1.0
2,DER_85,1.0
2,DER_86,0.0
2,DER_87,0.0
2,DER_88,1.0
2,DER_89,0.0
2,DER_90,1.0
2,DER_91,1.0
2,DER_92,1.0
2,DER_93,1.0
2,DER_94,1.0
2,DER_95,0.0
2,DER_96,0.0
2,DER_97,0.0
2,DER_98,0.0
2,DER_99,1.0
2,DER_100,1.0
2,DER_101,1.0
2,DER_102,1.0
2,DER_103,0.0
2,DER_104,0.0
2,DER_105,1.0
2,DER_106,0.0
2,DER_107,0.0
2,DER_108,0.0
2,DER_109,0.0
2,DER_110,1.0
2,DER_111,1.0
2,DER_112,1.0
2,DER_113,0.0
2,DER_114,0.0
2,DER_115,1.0
2,DER_116,0.0
2,DER_117,0.0
2,DER_118,1.0
2,DER_119,1.0
2,DER_120,1.0
2,DER_121,0.0
2,DER_122,1.0
2,DER_123,1.0
2,DER_124,0.0
2,DER_125,1.0
2,DER_126,1.0
2,DER_127,1.0
2,DER_128,0.0
2,DER_129,1.0
2,DER_130,1.0
2,DER_131,1.0
2,DER_132,0.0
2,DER_133,1.0
2,DER_134,0.0
2,DER_135,0.0
2,DER_136,0.0
2,DER_137,1.0
2,DER_138,1.0
2,DER_139,1.0
2,DER_140,1.0
2,DER_141,1.0
2,DER_142,0.0
2,DER_143,0.0
2,DER_144,1.0
2,DER_145,1.0
2,DER_146,1.0
2,DER_147,0.0
2,DER_148,0.0
2,DER_149,1.0
2,DER_150,1.0
2,DER_151,1.0
2,DER_152,0.0
2,DER_153,1.0
2,DER_154,1.0
2,DER_155,1.0
2,DER_156,0.0
2,DER_157,0.0
2,DER_158,1.0
2,DER_159,1.0
2,DER_160,1.0
2,DER_161,0.0
2,DER_162,0.0
2,DER_163,0.0
2,DER_164,0.0
2,DER_165,0.0
2,DER_166,1.0
2,DER_167,0.0
2,DER_168,0.0
2,DER_169,0.0
2,DER_170,0.0
2,DER_171,1.0
2,DER_172,0.0
2,DER_173,0.0
2,DER_174,1.0
2,DER_175,1.0
2,DER_176,0.0
2,DER_177,1.0
2,DER_178,0.0
2,DER_179,1.0
2,DER_180,1.0
2,DER_181,1.0
2,DER_182,0.0
2,DER_183,1.0
2,DER_184,1.0
2,DER_185,0.0
2,DER_186,0.0
2,DER_187,0.0
2,DER_188,0.0
2,DER_189,1.0
2,DER_190,0.0
2,DER_191,0.0
2,DER_192,1.0
2,DER_193,0.0
2,DER_194,0.0
2,DER_195,1.0
2,DER_196,1.0
2,DER_197,0.0
2,DER_198,1.0
2,DER_199,0.0
2,DER_200,1.0
2,DER_201,1.0
2,DER_202,0.0
2,DER_203,0.0
2,DER_204,1.0
2,DER_205,1.0
2,DER_206,1.0
2,DER_207,1.0
2,DER_208,0.0
2,DER_209,0.0
2,DER_210,1.0
2,DER_211,0.0
2,DER_212,1.0
2,DER_213,0.0
2,DER_214,1.0
2,DER_215,0.0
2,DER_216,0.0
2,DER_217,1.0
2,DER_218,0.0
2,DER_219,0.0
2,DER_220,0.0
2,DER_221,1.0
2,DER_222,1.0
2,DER_223,1.0
2,DER_224,1.0
2,DER_225,1.0
2,DER_226,0.0
2,DER_227,1.0
2,DER_228,1.0
2,DER_229,1.0
2,DER_230,1.0
2,DER_231,0.0
2,DER_232,1.0
2,DER_233,0.0
2,DER_234,0.0
2,DER_235,1.0
2,DER_236,1.0
2,DER_237,1.0
2,DER_238,1.0
2,DER_239,1.0
2,DER_240,1.0
2,DER_241,1.0
2,DER_242,0.0
2,DER_243,1.0
2,DER_244,1.0
2,DER_245,0.0
2,DER_246,1.0
2,DER_247,1.0
2,DER_248,0.0
2,DER_249,1.0
2,DER_250,0.0
2,DER_251,0.0
2,DER_252,1.0
2,DER_253,0.0
2,DER_254,1.0
2,DER_255,0.0
2,DER_256,0.0
2,DER_257,1.0
2,DER_258,0.0
2,DER_259,1.0
2,DER_260,1.0
2,DER_261,1.0
2,DER_262,1.0
2,DER_263,0.0
2,DER_264,1.0
2,DER_265,0.0
2,DER_266,1.0
2,DER_267,1.0
2,DER_268,0.0
2,DER_269,1.0
2,DER_270,0.0
2,DER_271,0.0
2,DER_272,1.0
2,DER_273,1.0
2,DER_274,0.0
2,DER_275,0.0
2,DER_276,1.0
2,DER_277,1.0
2,DER_278,0.0
2,DER_279,0.0
2,DER_280,1.0
2,DER_281,0.0
2,DER_282,0.0
2,DER_283,0.0
2,DER_284,0.0
2,DER_285,0.0
2,DER_286,1.0
2,DER_287,0.0
2,DER_288,1.0
2,DER_289,1.0
2,DER_290,1.0
2,DER_291,1.0
2,DER_292,0.0
2,DER_293,0.0
2,DER_294,1.0
2,DER_295,1.0
2,DER_296,0.0
2,DER_297,1.0
2,DER_298,1.0
2,DER_299,1.0
2,DER_300,0.0
2,DER_301,0.0
2,DER_302,0.0
2,DER_303,1.0
2,DER_304,1.0
2,DER_305,1.0
2,DER_306,0.0
2,DER_307,0.0
2,DER_308,1.0
2,DER_309,0.0
2,DER_310,0.0
2,DER_311,0.0
2,DER_312,1.0
2,DER_313,1.0
2,DER_314,1.0
2,DER_315,0.0
2,DER_316,0.0
2,DER_317,1.0
2,DER_318,1.0
2,DER_319,1.0
2,DER_320,0.0
2,DER_321,0.0
2,DER_322,1.0
2,DER_323,0.0
2,DER_324,1.0
2,DER_325,0.0
2,DER_326,1.0
2,DER_327,0.0
2,DER_328,0.0
2,DER_329,1.0
2,DER_330,0.0
2,DER_331,0.0
2,DER_332,1.0
2,DER_333,1.0
2,DER_334,1.0
2,DER_335,0.0
2,DER_336,0.0
2,DER_337,1.0
2,DER_338,0.0
2,DER_339,0.0
2,DER_340,0.0
2,DER_341,0.0
2,DER_342,1.0
2,DER_343,0.0
2,DER_344,0.0
2,DER_345,1.0
2,DER_346,1.0
2,DER_347,1.0
2,DER_348,0.0
2,DER_349,1.0
2,DER_350,1.0
2,DER_351,1.0
2,DER_352,0.0
2,DER_353,0.0
2,DER_354,0.0
2,DER_355,1.0
2,DER_356,1.0
2,DER_357,0.0
2,DER_358,0.0
2,DER_359,0.0
2,DER_360,0.0
2,DER_361,1.0
2,DER_362,0.0
2,DER_363,0.0
2,DER_364,0.0
2,DER_365,1.0
2,DER_366,0.0
2,DER_367,1.0
2,DER_368,1.0
2,DER_369,0.0
2,DER_370,1.0
