DER Name,Bus Location,Phase Connection,Bid Price (¢/kWh),Offer Price (¢/kWh),Quantity (kW)
DER_343,Bus96,['B'],,17.0,23.0
DER_344,Bus96,['B'],,8.0,21.0
DER_345,Bus97,['A'],16.0,,-24.0
DER_346,Bus98,"['A', 'C']",21.0,,-17.0
DER_347,Bus98,"['A', 'B']",11.0,,-19.0
DER_348,Bus98,['A'],,16.0,31.0
DER_349,Bus99,['B'],18.0,,-21.0
DER_350,Bus99,"['A', 'B', 'C']",14.0,,-27.0
DER_351,Bus100,"['A', 'B']",13.0,,-19.0
DER_352,Bus100,['C'],,5.0,21.0
DER_353,Bus100,"['A', 'B', 'C']",,11.0,38.0
DER_354,Bus100,"['A', 'C']",,8.0,7.0
DER_355,Bus100,['B'],15.0,,-40.0
DER_356,Bus100,"['A', 'B', 'C']",13.0,,-11.0
DER_357,Bus100,"['A', 'B', 'C']",,8.0,5.0
DER_358,Bus100,"['B', 'C']",,7.0,17.0
DER_359,Bus101,"['B', 'C']",,7.0,14.0
DER_360,Bus101,['B'],,15.0,8.0
DER_361,Bus101,"['A', 'B', 'C']",13.0,,-33.0
DER_362,Bus101,"['A', 'B', 'C']",,16.0,20.0
DER_363,Bus102,['C'],,7.0,17.0
DER_364,Bus102,['C'],,7.0,20.0
DER_365,Bus103,['C'],12.0,,-29.0
DER_366,Bus103,['C'],,7.0,21.0
DER_367,Bus103,['C'],12.0,,-24.0
DER_368,Bus103,['C'],12.0,,-35.0
DER_369,Bus103,['C'],,7.0,30.0
DER_370,Bus105,['B'],19.0,,-25.0
DER_371,Bus105,"['A', 'B']",13.0,,-24.0
DER_372,Bus105,['A'],9.0,,-25.0
DER_373,Bus105,['A'],,15.0,17.0
DER_374,Bus105,"['A', 'B', 'C']",,14.0,16.0
DER_375,Bus106,['B'],15.0,,-19.0
DER_376,Bus106,['B'],,15.0,7.0
DER_377,Bus107,['B'],,9.0,31.0
DER_378,Bus107,['B'],13.0,,-16.0
DER_379,Bus107,['B'],,17.0,18.0
DER_380,Bus108,"['A', 'C']",,14.0,7.0
DER_381,Bus108,"['A', 'B']",14.0,,-22.0
DER_382,Bus108,['C'],12.0,,-18.0
DER_383,Bus108,['A'],,10.0,18.0
DER_384,Bus108,"['A', 'B', 'C']",7.0,,-16.0
DER_385,Bus108,['C'],3.0,,-12.0
DER_386,Bus109,['A'],7.0,,-35.0
DER_387,Bus109,['A'],12.0,,-14.0
DER_388,Bus110,['A'],12.0,,-15.0
DER_389,Bus110,['A'],17.0,,-21.0
DER_390,Bus110,['A'],,14.0,33.0
DER_391,Bus110,['A'],17.0,,-36.0
DER_392,Bus111,['A'],,12.0,18.0
DER_393,Bus111,['A'],,17.0,24.0
DER_394,Bus111,['A'],,12.0,10.0
DER_395,Bus111,['A'],19.0,,-17.0
DER_396,Bus112,['A'],,8.0,25.0
DER_397,Bus112,['A'],12.0,,-27.0
DER_398,Bus112,['A'],9.0,,-15.0
DER_399,Bus112,['A'],21.0,,-23.0
DER_400,Bus112,['A'],,14.0,31.0
DER_401,Bus112,['A'],,17.0,13.0
DER_402,Bus112,['A'],12.0,,-32.0
DER_403,Bus113,['A'],,22.0,26.0
DER_404,Bus135,"['A', 'B']",,15.0,33.0
DER_405,Bus135,"['B', 'C']",12.0,,-35.0
DER_406,Bus135,['C'],12.0,,-14.0
DER_407,Bus135,['C'],,7.0,22.0
DER_408,Bus149,"['A', 'C']",,13.0,14.0
DER_409,Bus149,"['A', 'B']",,12.0,22.0
DER_410,Bus149,['B'],13.0,,-18.0
DER_411,Bus152,"['B', 'C']",,7.0,10.0
DER_412,Bus152,"['A', 'B']",15.0,,-17.0
DER_413,Bus152,['B'],20.0,,-21.0
DER_414,Bus160,"['A', 'B']",,10.0,9.0
DER_415,Bus160,"['A', 'C']",16.0,,-28.0
DER_416,Bus160,"['A', 'C']",14.0,,-22.0
DER_417,Bus160,"['A', 'B']",19.0,,-24.0
DER_418,Bus160,['C'],12.0,,-33.0
DER_419,Bus160,['A'],10.0,,-13.0
DER_420,Bus197,['B'],,22.0,29.0
DER_421,Bus197,['A'],,23.0,21.0
DER_422,Bus197,['A'],12.0,,-37.0
DER_423,Bus197,['B'],16.0,,-19.0
DER_424,Bus197,['C'],12.0,,-20.0
DER_425,Bus250,['C'],7.0,,-12.0
DER_426,Bus250,['B'],17.0,,-25.0
DER_427,Bus250,['C'],,7.0,23.0
DER_428,Bus250,['A'],10.0,,-25.0
DER_429,Bus250,"['A', 'B']",,10.0,22.0
DER_430,Bus250,"['A', 'B', 'C']",13.0,,-15.0
DER_431,Bus300,['C'],12.0,,-22.0
DER_432,Bus300,"['A', 'B']",,18.0,12.0
DER_433,Bus300,"['A', 'B', 'C']",,14.0,18.0
DER_434,Bus300,['B'],23.0,,-27.0
DER_435,Bus300,"['B', 'C']",,7.0,25.0
DER_436,Bus300,['A'],8.0,,-28.0
DER_437,Bus450,['A'],18.0,,-26.0
DER_438,Bus450,"['A', 'C']",,14.0,15.0
DER_439,Bus450,"['A', 'B', 'C']",15.0,,-19.0
DER_440,Bus450,['A'],,9.0,28.0
DER_441,Bus450,['A'],,17.0,12.0
DER_442,Bus450,"['A', 'C']",16.0,,-36.0
DER_443,Bus450,"['A', 'C']",,15.0,8.0
DER_444,Bus450,"['A', 'C']",,23.0,24.0
DER_445,Bus610,['A'],,15.0,37.0
DER_446,Bus610,"['B', 'C']",,7.0,14.0
DER_447,Bus610,['A'],,8.0,29.0
DER_448,Bus610,"['B', 'C']",10.0,,-29.0
DER_449,Bus610,"['B', 'C']",8.0,,-24.0
DER_450,Bus610,"['A', 'C']",,8.0,26.0
