DER Name,Bus Location,Phase Connection,Bid Price,Offer Price,Quantity,Price
DER_85,Bus24,['C'],12,,-27,12
DER_86,Bus24,['C'],,7,42,7
DER_87,Bus25,['A'],,11,19,11
DER_88,Bus26,['A'],14,,-16,14
DER_89,Bus26,['C'],,7,20,7
DER_90,Bus26,['C'],12,,-15,12
DER_91,Bus26,['C'],9,,-16,9
DER_92,Bus26,"['A', 'C']",9,,-16,9
DER_93,Bus27,"['A', 'C']",17,,-23,17
DER_94,Bus27,['A'],25,,-22,25
DER_95,Bus27,['C'],,7,24,7
DER_96,Bus27,['A'],,18,24,18
DER_97,Bus27,['A'],,16,23,16
DER_98,Bus28,"['B', 'C']",,7,28,7
DER_99,Bus28,['B'],16,,-16,16
DER_100,Bus29,"['A', 'C']",13,,-9,13
DER_101,Bus29,"['A', 'B', 'C']",13,,-6,13
DER_102,Bus31,['C'],10,,-8,10
DER_103,Bus31,['C'],,7,17,7
DER_104,Bus32,['C'],,7,28,7
DER_105,Bus32,['C'],12,,-12,12
DER_106,Bus32,['C'],,7,27,7
DER_107,Bus32,['C'],,7,24,7
DER_108,Bus33,['A'],,15,12,15
DER_109,Bus33,['A'],,17,41,17
DER_110,Bus33,['A'],18,,-13,18
DER_111,Bus33,['A'],9,,-35,9
DER_112,Bus33,['A'],21,,-27,21
DER_113,Bus34,['C'],,7,12,7
DER_114,Bus34,['C'],,7,13,7
DER_115,Bus35,"['A', 'B']",13,,-19,13
DER_116,Bus35,"['A', 'C']",1,,-30,1
DER_117,Bus36,['B'],,10,27,10
DER_118,Bus36,['A'],16,,-28,16
DER_119,Bus36,"['A', 'B']",16,,-37,16
DER_120,Bus36,['B'],13,,-21,13
DER_121,Bus36,['B'],,13,27,13
DER_122,Bus36,['B'],13,,-29,13
DER_123,Bus36,['A'],8,,-14,8
DER_124,Bus37,['A'],,14,11,14
DER_125,Bus37,['A'],11,,-30,11
DER_126,Bus38,['B'],13,,-14,13
DER_127,Bus38,['B'],20,,-23,20
DER_128,Bus38,['B'],,17,32,17
DER_129,Bus38,['B'],18,,-15,18
DER_130,Bus38,['B'],4,,-22,4
DER_131,Bus38,['B'],18,,-29,18
DER_132,Bus38,['B'],,11,24,11
DER_133,Bus39,['B'],22,,-15,22
DER_134,Bus39,['B'],,12,19,12
DER_135,Bus39,['B'],,16,42,16
DER_136,Bus39,['B'],,16,32,16
DER_137,Bus40,['C'],12,,-20,12
DER_138,Bus40,"['B', 'C']",12,,-17,12
DER_139,Bus40,"['A', 'B', 'C']",19,,-13,19
DER_140,Bus40,"['B', 'C']",10,,-14,10
DER_141,Bus40,['A'],17,,-18,17
DER_142,Bus40,"['A', 'B']",,11,17,11
DER_143,Bus41,['C'],,7,19,7
DER_144,Bus41,['C'],12,,-19,12
DER_145,Bus41,['C'],12,,-7,12
DER_146,Bus41,['C'],12,,-9,12
DER_147,Bus41,['C'],,7,31,7
DER_148,Bus42,"['B', 'C']",,7,30,7
DER_149,Bus43,['B'],13,,-18,13
DER_150,Bus43,['B'],21,,-19,21
DER_151,Bus43,['B'],22,,-37,22
DER_152,Bus44,"['A', 'B']",,8,19,8
DER_153,Bus44,['A'],16,,-17,16
DER_154,Bus44,"['A', 'B', 'C']",13,,-17,13
DER_155,Bus44,['C'],11,,-7,11
DER_156,Bus44,['A'],,18,44,18
DER_157,Bus44,['B'],,8,31,8
DER_158,Bus45,['A'],15,,-6,15
DER_159,Bus45,['A'],8,,-21,8
DER_160,Bus45,['A'],9,,-16,9
DER_161,Bus45,['A'],,12,38,12
DER_162,Bus45,['A'],,15,16,15
DER_163,Bus45,['A'],,22,38,22
DER_164,Bus45,['A'],,18,11,18
DER_165,Bus46,['A'],,21,19,21
DER_166,Bus46,['A'],19,,-26,19
DER_167,Bus46,['A'],,17,28,17
DER_168,Bus46,['A'],,19,20,19
DER_169,Bus46,['A'],,15,10,15
DER_170,Bus46,['A'],,13,32,13
DER_171,Bus46,['A'],11,,-27,11
DER_172,Bus47,['C'],,7,13,7
DER_173,Bus47,['C'],,7,25,7
DER_174,Bus47,"['A', 'C']",23,,-18,23
DER_175,Bus47,['B'],18,,-30,18
DER_176,Bus47,"['A', 'B', 'C']",,13,14,13
DER_177,Bus47,"['A', 'C']",13,,-24,13
DER_178,Bus47,['C'],,7,31,7
DER_179,Bus48,"['B', 'C']",12,,-28,12
DER_180,Bus48,"['B', 'C']",12,,-21,12
DER_181,Bus48,['C'],12,,-20,12
DER_182,Bus48,['A'],,16,17,16
DER_183,Bus48,"['A', 'B', 'C']",14,,-8,14
DER_184,Bus49,"['A', 'B', 'C']",15,,-20,15
DER_185,Bus49,['A'],,12,13,12
DER_186,Bus49,"['B', 'C']",,7,16,7
DER_187,Bus49,['B'],,13,29,13
DER_188,Bus50,"['A', 'B']",,21,34,21
DER_189,Bus50,"['B', 'C']",12,,-33,12
DER_190,Bus52,['A'],,16,44,16
DER_191,Bus52,"['B', 'C']",,7,27,7
DER_192,Bus52,['A'],16,,-21,16
DER_193,Bus52,"['A', 'B']",,18,30,18
DER_194,Bus53,['C'],,7,17,7
DER_195,Bus53,['B'],13,,-23,13
DER_196,Bus53,"['A', 'B']",6,,-29,6
DER_197,Bus53,['C'],,7,19,7
DER_198,Bus54,"['A', 'C']",17,,-37,17
DER_199,Bus54,"['A', 'C']",,19,25,19
DER_200,Bus54,['A'],11,,-38,11
DER_201,Bus54,['B'],13,,-33,13
DER_202,Bus54,"['A', 'B']",,15,25,15
DER_203,Bus54,"['A', 'C']",,21,8,21
DER_204,Bus54,"['A', 'C']",12,,-13,12
DER_205,Bus54,['C'],7,,-17,7
DER_206,Bus56,['C'],12,,-15,12
DER_207,Bus56,"['A', 'C']",9,,-36,9
DER_208,Bus57,['B'],,15,20,15
DER_209,Bus57,['A'],,17,29,17
DER_210,Bus58,['B'],13,,-13,13
DER_211,Bus58,['B'],,14,30,14
DER_212,Bus59,['B'],22,,-13,22
DER_213,Bus59,['B'],,17,20,17
DER_214,Bus59,['B'],20,,-16,20
DER_215,Bus60,"['A', 'B']",,12,6,12
DER_216,Bus60,['B'],,20,12,20
DER_217,Bus60,"['A', 'B', 'C']",13,,-15,13
DER_218,Bus60,['B'],,21,9,21
DER_219,Bus60,"['A', 'B']",,13,25,13
DER_220,Bus61,['A'],,10,23,10
DER_221,Bus61,"['A', 'B', 'C']",14,,-6,14
DER_222,Bus61,['A'],16,,-17,16
DER_223,Bus61,['A'],11,,-39,11
DER_224,Bus61,"['A', 'C']",20,,-20,20
DER_225,Bus62,"['B', 'C']",12,,-6,12
DER_226,Bus62,"['A', 'B']",,18,15,18
DER_227,Bus62,['B'],15,,-24,15
DER_228,Bus62,['B'],18,,-12,18
DER_229,Bus62,"['A', 'C']",8,,-28,8
DER_230,Bus62,"['A', 'B', 'C']",7,,-19,7
DER_231,Bus63,['C'],,6,14,6
DER_232,Bus63,['B'],13,,-30,13
DER_233,Bus63,"['B', 'C']",,7,15,7
DER_234,Bus64,"['A', 'B', 'C']",,16,21,16
DER_235,Bus64,"['A', 'B']",8,,-17,8
DER_236,Bus65,['B'],18,,-11,18
DER_237,Bus65,['B'],13,,-17,13
DER_238,Bus66,['A'],3,,-28,3
DER_239,Bus66,"['A', 'B']",14,,-24,14
DER_240,Bus66,"['B', 'C']",12,,-28,12
DER_241,Bus66,['B'],17,,-18,17
DER_242,Bus67,"['A', 'B', 'C']",,9,19,9
DER_243,Bus67,"['B', 'C']",3,,-9,3
DER_244,Bus67,"['A', 'C']",19,,-21,19
DER_245,Bus68,['A'],,19,27,19
DER_246,Bus68,['A'],15,,-26,15
DER_247,Bus68,['A'],22,,-36,22
DER_248,Bus69,['A'],,12,33,12
DER_249,Bus69,['A'],15,,-14,15
DER_250,Bus70,['A'],,14,23,14
DER_251,Bus70,['A'],,21,33,21
DER_252,Bus70,['A'],16,,-29,16
DER_253,Bus70,['A'],,15,10,15
DER_254,Bus71,['A'],12,,-26,12
DER_255,Bus71,['A'],,18,25,18
DER_256,Bus71,['A'],2,,-25,2
DER_257,Bus71,['A'],24,,-14,24
DER_258,Bus71,['A'],,18,13,18
DER_259,Bus71,['A'],18,,-35,18
DER_260,Bus71,['A'],11,,-30,11
DER_261,Bus72,"['A', 'B', 'C']",13,,-32,13
DER_262,Bus73,['C'],6,,-27,6
DER_263,Bus74,['C'],,7,18,7
DER_264,Bus75,['C'],10,,-29,10
DER_265,Bus75,['C'],,7,17,7
DER_266,Bus75,['C'],12,,-15,12
DER_267,Bus75,['C'],11,,-27,11
DER_268,Bus76,"['A', 'B']",,16,28,16
DER_269,Bus76,"['B', 'C']",10,,-22,10
DER_270,Bus76,['B'],,8,10,8
DER_271,Bus76,"['A', 'C']",,14,23,14
DER_272,Bus76,['C'],12,,-22,12
DER_273,Bus77,"['B', 'C']",8,,-18,8
DER_274,Bus77,"['B', 'C']",,7,36,7
DER_275,Bus77,['C'],,7,21,7
DER_276,Bus78,['A'],22,,-15,22
DER_277,Bus79,['C'],12,,-28,12
DER_278,Bus79,"['A', 'B', 'C']",,8,9,8
DER_279,Bus79,['B'],,13,14,13
DER_280,Bus79,"['A', 'B']",10,,-22,10
DER_281,Bus80,['B'],,17,20,17
DER_282,Bus80,"['A', 'C']",,17,16,17
DER_283,Bus80,"['A', 'B', 'C']",,13,11,13
DER_284,Bus80,"['A', 'C']",,11,20,11
DER_285,Bus80,"['A', 'B']",,19,20,19
DER_286,Bus80,"['A', 'B']",20,,-35,20
DER_287,Bus80,['B'],,18,28,18
DER_288,Bus81,['C'],4,,-26,4
DER_289,Bus81,['C'],6,,-27,6
DER_290,Bus81,['A'],12,,-9,12
DER_291,Bus81,['C'],12,,-13,12
DER_292,Bus81,"['A', 'C']",,23,28,23
DER_293,Bus82,"['A', 'B']",,21,24,21
DER_294,Bus82,"['A', 'C']",13,,-26,13
DER_295,Bus83,"['A', 'B', 'C']",14,,-27,14
DER_296,Bus83,"['B', 'C']",,7,8,7
DER_297,Bus84,['C'],10,,-19,10
DER_298,Bus84,['C'],6,,-17,6
DER_299,Bus84,['C'],12,,-13,12
DER_300,Bus84,['C'],,6,24,6
DER_301,Bus84,['C'],,7,26,7
DER_302,Bus85,['C'],,7,33,7
DER_303,Bus85,['C'],12,,-22,12
DER_304,Bus86,['C'],12,,-36,12
DER_305,Bus86,"['A', 'C']",13,,-25,13
DER_306,Bus86,"['A', 'C']",,13,25,13
DER_307,Bus86,"['B', 'C']",,7,28,7
DER_308,Bus87,"['A', 'B', 'C']",16,,-20,16
DER_309,Bus87,"['B', 'C']",,7,12,7
DER_310,Bus87,"['A', 'C']",,9,12,9
DER_311,Bus88,['A'],,22,25,22
DER_312,Bus88,['A'],21,,-23,21
DER_313,Bus89,['C'],11,,-6,11
DER_314,Bus89,"['A', 'B']",15,,-39,15
DER_315,Bus89,"['B', 'C']",,7,9,7
DER_316,Bus89,['B'],,13,11,13
DER_317,Bus89,"['A', 'C']",12,,-25,12
DER_318,Bus89,['A'],12,,-21,12
DER_319,Bus89,"['A', 'C']",13,,-19,13
DER_320,Bus89,['B'],,13,23,13
DER_321,Bus89,"['A', 'B']",,8,43,8
DER_322,Bus90,['B'],13,,-8,13
DER_323,Bus90,['B'],,21,18,21
DER_324,Bus91,"['B', 'C']",3,,-15,3
DER_325,Bus91,['A'],,19,27,19
DER_326,Bus91,"['A', 'B']",17,,-30,17
DER_327,Bus91,"['A', 'B', 'C']",,15,34,15
DER_328,Bus92,['C'],,7,21,7
DER_329,Bus92,['C'],12,,-22,12
DER_330,Bus92,['C'],,7,17,7
DER_331,Bus93,['C'],,7,21,7
DER_332,Bus93,"['A', 'B', 'C']",13,,-24,13
DER_333,Bus93,"['A', 'B']",10,,-27,10
DER_334,Bus93,"['A', 'B']",13,,-21,13
DER_335,Bus94,['A'],,13,31,13
DER_336,Bus94,['A'],,10,31,10
DER_337,Bus94,['A'],17,,-13,17
DER_338,Bus94,['A'],,10,15,10
DER_339,Bus95,"['A', 'C']",,14,36,14
DER_340,Bus95,"['A', 'B', 'C']",,19,16,19
DER_341,Bus95,['A'],,15,8,15
DER_342,Bus95,['B'],19,,-26,19
DER_343,Bus96,['B'],,17,23,17
DER_344,Bus96,['B'],,8,21,8
DER_345,Bus97,['A'],16,,-24,16
DER_346,Bus98,"['A', 'C']",21,,-17,21
DER_347,Bus98,"['A', 'B']",11,,-19,11
DER_348,Bus98,['A'],,16,31,16
DER_349,Bus99,['B'],18,,-21,18
DER_350,Bus99,"['A', 'B', 'C']",14,,-27,14
DER_351,Bus100,"['A', 'B']",13,,-19,13
DER_352,Bus100,['C'],,5,21,5
DER_353,Bus100,"['A', 'B', 'C']",,11,38,11
DER_354,Bus100,"['A', 'C']",,8,7,8
DER_355,Bus100,['B'],15,,-40,15
DER_356,Bus100,"['A', 'B', 'C']",13,,-11,13
DER_357,Bus100,"['A', 'B', 'C']",,8,5,8
DER_358,Bus100,"['B', 'C']",,7,17,7
DER_359,Bus101,"['B', 'C']",,7,14,7
DER_360,Bus101,['B'],,15,8,15
DER_361,Bus101,"['A', 'B', 'C']",13,,-33,13
DER_362,Bus101,"['A', 'B', 'C']",,16,20,16
DER_363,Bus102,['C'],,7,17,7
DER_364,Bus102,['C'],,7,20,7
DER_365,Bus103,['C'],12,,-29,12
DER_366,Bus103,['C'],,7,21,7
DER_367,Bus103,['C'],12,,-24,12
DER_368,Bus103,['C'],12,,-35,12
DER_369,Bus103,['C'],,7,30,7
DER_370,Bus105,['B'],19,,-25,19
DER_371,Bus105,"['A', 'B']",13,,-24,13
DER_372,Bus105,['A'],9,,-25,9
DER_373,Bus105,['A'],,15,17,15
DER_374,Bus105,"['A', 'B', 'C']",,14,16,14
DER_375,Bus106,['B'],15,,-19,15
DER_376,Bus106,['B'],,15,7,15
DER_377,Bus107,['B'],,9,31,9
DER_378,Bus107,['B'],13,,-16,13
DER_379,Bus107,['B'],,17,18,17
DER_380,Bus108,"['A', 'C']",,14,7,14
DER_381,Bus108,"['A', 'B']",14,,-22,14
DER_382,Bus108,['C'],12,,-18,12
DER_383,Bus108,['A'],,10,18,10
DER_384,Bus108,"['A', 'B', 'C']",7,,-16,7
DER_385,Bus108,['C'],3,,-12,3
DER_386,Bus109,['A'],7,,-35,7
DER_387,Bus109,['A'],12,,-14,12
DER_388,Bus110,['A'],12,,-15,12
DER_389,Bus110,['A'],17,,-21,17
DER_390,Bus110,['A'],,14,33,14
DER_391,Bus110,['A'],17,,-36,17
DER_392,Bus111,['A'],,12,18,12
DER_393,Bus111,['A'],,17,24,17
DER_394,Bus111,['A'],,12,10,12
DER_395,Bus111,['A'],19,,-17,19
DER_396,Bus112,['A'],,8,25,8
DER_397,Bus112,['A'],12,,-27,12
DER_398,Bus112,['A'],9,,-15,9
DER_399,Bus112,['A'],21,,-23,21
DER_400,Bus112,['A'],,14,31,14
DER_401,Bus112,['A'],,17,13,17
DER_402,Bus112,['A'],12,,-32,12
DER_403,Bus113,['A'],,22,26,22
DER_404,Bus135,"['A', 'B']",,15,33,15
DER_405,Bus135,"['B', 'C']",12,,-35,12
DER_406,Bus135,['C'],12,,-14,12
DER_407,Bus135,['C'],,7,22,7
DER_408,Bus149,"['A', 'C']",,13,14,13
DER_409,Bus149,"['A', 'B']",,12,22,12
DER_410,Bus149,['B'],13,,-18,13
DER_411,Bus152,"['B', 'C']",,7,10,7
DER_412,Bus152,"['A', 'B']",15,,-17,15
DER_413,Bus152,['B'],20,,-21,20
DER_414,Bus160,"['A', 'B']",,10,9,10
DER_415,Bus160,"['A', 'C']",16,,-28,16
DER_416,Bus160,"['A', 'C']",14,,-22,14
DER_417,Bus160,"['A', 'B']",19,,-24,19
DER_418,Bus160,['C'],12,,-33,12
DER_419,Bus160,['A'],10,,-13,10
DER_420,Bus197,['B'],,22,29,22
DER_421,Bus197,['A'],,23,21,23
DER_422,Bus197,['A'],12,,-37,12
DER_423,Bus197,['B'],16,,-19,16
DER_424,Bus197,['C'],12,,-20,12
DER_425,Bus250,['C'],7,,-12,7
DER_426,Bus250,['B'],17,,-25,17
DER_427,Bus250,['C'],,7,23,7
DER_428,Bus250,['A'],10,,-25,10
DER_429,Bus250,"['A', 'B']",,10,22,10
DER_430,Bus250,"['A', 'B', 'C']",13,,-15,13
DER_431,Bus300,['C'],12,,-22,12
DER_432,Bus300,"['A', 'B']",,18,12,18
DER_433,Bus300,"['A', 'B', 'C']",,14,18,14
DER_434,Bus300,['B'],23,,-27,23
DER_435,Bus300,"['B', 'C']",,7,25,7
DER_436,Bus300,['A'],8,,-28,8
DER_437,Bus450,['A'],18,,-26,18
DER_438,Bus450,"['A', 'C']",,14,15,14
DER_439,Bus450,"['A', 'B', 'C']",15,,-19,15
DER_440,Bus450,['A'],,9,28,9
DER_441,Bus450,['A'],,17,12,17
DER_442,Bus450,"['A', 'C']",16,,-36,16
DER_443,Bus450,"['A', 'C']",,15,8,15
DER_444,Bus450,"['A', 'C']",,23,24,23
DER_445,Bus610,['A'],,15,37,15
DER_446,Bus610,"['B', 'C']",,7,14,7
DER_447,Bus610,['A'],,8,29,8
DER_448,Bus610,"['B', 'C']",10,,-29,10
DER_449,Bus610,"['B', 'C']",8,,-24,8
DER_450,Bus610,"['A', 'C']",,8,26,8
